a,,,,,blog,pyleecan,saját,mérés,b,p,s,m,bb,pp,ss,mm
0,-0.00179325,0.009995913,0.004306646,-0.014345997,0,0,0,0,0,0,0,0,0,0,0,0
8,-1.048982315,-2.281050529,-1.21342915,-8.391858523,-17.38782599,-33.30095767,-21.16468315,-11.48909247,-9.792852303,-21.07382567,-12.18144128,-5.164241427,-4.364002678,-11.33052572,-5.675312306,0.551017922
16,-3.305216388,-5.170694111,-3.963624844,-26.4417311,-31.67727067,-41.93856673,-34.27535456,-43.45408078,-18.71858703,-24.19292817,-20.0190814,-24.30793167,-9.292670073,-11.11186211,-9.152833917,-8.421237666
24,-3.66420485,-4.209731101,-3.335940825,-29.3136388,-24.41520612,-19.85979522,-17.83662596,-46.62397341,-14.47216803,-10.51728004,-9.320872571,-22.48487727,-6.013565591,-3.458914163,-2.934241475,-7.876695959
32,-2.589808324,-1.529303404,-1.555059254,-20.71846659,-16.27694738,-9.064350778,-6.430997937,-33.79858567,-7.93525822,-3.381539667,-1.290863989,-16.2186,-1.111777597,1.58976961,3.092255092,-6.055260614
40,-1.254698194,-0.584807871,0.134310813,-10.03758555,-2.246032179,2.848482205,6.98399285,-16.49367063,2.296576508,6.339923187,8.651816154,-2.960169738,4.324043504,9.329657309,10.07200744,6.559865665
48,0.643666926,1.425210338,1.678085269,5.149335409,13.8996254,22.24752005,24.45015725,-3.029516331,14.54617553,22.79302039,23.52187656,6.48215109,13.50699224,20.24516894,20.10618711,9.021366882
56,3.507266962,4.813805273,4.725497846,28.05813569,41.50667085,55.89579841,50.40615122,30.91162201,33.23961036,42.99621574,39.3345401,26.08943036,27.30882333,34.36133293,31.87834375,21.00452256
64,6.970149945,8.920042983,8.014801914,55.76119956,70.73845647,85.33138083,80.00392758,78.28916584,51.06139493,61.04910379,58.30669004,54.58963158,38.7682084,44.62060966,43.36616682,39.97821216
72,10.6200393,13.38475869,11.95451109,84.96031439,105.2111165,127.3563082,118.7102931,114.7891791,72.41745211,88.30220711,82.97159752,83.72180341,51.97756842,65.08298816,61.04088943,61.4862604
80,16.23379942,18.39056901,17.3963178,129.8703954,148.3971661,163.1877904,155.4860152,158.9679933,102.7189992,113.914313,108.2689565,110.9483491,75.97952078,83.78975111,79.82367576,81.09677777
88,20.29949368,21.9703432,21.06365179,162.3959494,173.2809237,186.3182803,179.3859594,182.0310569,122.5089608,132.0305094,127.7197363,128.6516213,90.77696872,96.4738096,94.05943319,93.71676121
96,22.76543825,24.56505173,23.73813503,182.123506,188.8549797,209.4544649,200.783696,222.3712868,135.2886619,146.5077712,140.8835656,150.1645267,95.66851118,102.2781842,98.89969558,107.605543
104,24.66198873,28.54562676,26.83431177,197.2959098,217.8041693,251.2522303,239.2801499,255.0321715,156.9684248,178.2416978,170.864718,176.1255121,110.1739931,123.5067152,118.4475719,124.6687493
112,31.50355565,34.39727147,33.29232393,252.0284452,281.1482036,297.8159763,288.6674683,303.0495701,196.9564728,205.9361343,200.9463278,207.7985188,138.7660247,144.8093942,141.1613835,147.4520722
120,37.44668471,38.8281753,37.76453127,299.5734777,308.9889532,313.7800683,307.5535727,324.8334683,211.1324974,211.3019741,209.0221255,222.3208903,148.2536307,147.8866644,147.0248405,155.6272137
128,38.56718439,38.47402617,38.04155977,308.5374752,298.0515223,301.5463782,294.7677467,337.6588561,201.7342974,203.5684571,199.4054534,229.2256144,139.2498216,139.0171362,137.5138508,154.9061951
136,35.50919176,37.61351457,36.15246725,284.0735341,279.0348921,305.7372268,292.2698597,333.2070776,189.5467689,203.3228885,197.4340813,222.7893365,128.9999235,135.4978896,133.4999931,147.204357
144,36.38201009,39.40911504,37.48730358,291.0560807,313.1401449,326.7972981,313.899303,339.634462,208.2698777,206.9126741,204.8122472,219.5291021,133.4895937,130.0053235,129.5574469,134.4127538
152,40.91628408,41.17687813,40.40283939,327.3302726,324.1896995,315.7913562,314.7861138,331.9850421,196.424445,183.0549567,187.2958015,197.8461961,121.3518507,111.4446424,115.1472968,118.4467262
160,37.63461998,35.6732,35.99285793,301.0769598,255.4179837,247.1939317,245.2314665,287.8633577,146.413235,138.8133875,139.4921175,159.6511017,87.62139673,82.93774083,83.18931574,97.40226698
168,23.99842681,25.730337,24.3965672,191.9874145,127.6928108,162.1130701,144.034219,175.2777601,72.36433701,94.82233067,83.90069869,99.22208327,42.59725722,54.16141239,49.39806208,56.02627184
176,9.432887481,14.04928724,11.48029407,75.46309985,36.46737376,55.50076858,44.06238227,88.285808,19.03287815,31.45204424,24.35417301,24.18326454,8.858850658,17.67254518,12.20432174,20.37039321
180,-0.00230017,0.003947955,-0.000640712,0.639854742,0,0,0,0,0,0,0,0,0,0,0,0
